TransitionComputerCode,RouteString
ACONY3 SAPPO,PALDE SAPPO
ADELL7 AKMIE,ADELL AKMIE
ADELL7 ARLYN,ADELL AKMIE ARLYN
ADYOS3 GUP,ADYOS BABYY BUSLE GUP
ADYOS3 ZUN,ADYOS PNYON ZUN
AEROZ2 SJT,AEROZ SJT
AGERS1 DUCEN,AGERS PERTS AARPS MMART ENWOD SEAZY DUCEN
AGERS1 HURGI,AGERS HURGI
AHEHU3 FANID,AHEHU FANID
AHEHU3 FIPFE,AHEHU FIPFE
AHMET4 EWC,KKIDS ZAVEE EWC
AHMET4 NUSMM,KKIDS NUSMM
AKUNA9 MLC,AKUNA TIKYS MLC
ALAMO4 GOBBY,SAT GOBBY
ALAMO4 AGJ,SAT GOBBY AGJ
ALAMO4 HENLY,SAT HENLY
ALAMO4 JUMBO,SAT HENLY JUMBO
ALCOS6 CKW,ALCOS CKW
ALCOS6 MBW,ALCOS MBW
AEX3 CEW,AEX MCB CEW
AEX3 MCB,AEX MCB
ALMDN4 HRNER,ALMDN DEEII HRNER
ALMDN4 MOGEE,ALMDN ROANA KAESS MOGEE
ALMDN4 ORRCA,ALMDN ROANA AXXXX ORRCA
ALMDN4 SYRAH,ALMDN ROANA SYRAH
ALMDN4 TIPRE,ALMDN ROANA HNNLE TIPRE
ALPIN4 BPI,KICNE BPI
ALPIN4 IDA,KICNE IDA
ALPYN1 YERIN,ALPYN RYANN YERIN
ALTNN2 DUCEN,ALTNN MMART ENWOD SEAZY DUCEN
AMEEE1 COLIN,AMEEE COLIN
AMEEE1 SCOOB,AMEEE COLIN SCOOB
AMERY4 ROWIN,AMERY ROWIN
AMERY4 TYPHO,AMERY TYPHO
ANAHM1 HEC,SLI PDZ APLES HEC
ANAHM1 LHS,SLI POXKU BAYJY DARTS LHS
ANAHM1 VTU,SLI WILMA LAX SADDE VTU
ARCHZ1 KROST,ARCHZ TRILA EDETH GAROT KROST
ARCHZ1 MLF,ARCHZ TRILA EDETH SEVYR MLF
ARCHZ1 WINEN,ARCHZ TRILA EDETH WINEN
ARDIA7 CLL,ARDIA ELLVR CLL
ARDIA7 ELLVR,ARDIA ELLVR
ARSNL5 FLUKY,CSN FLUKY
ARSNL5 GVE,CSN GVE
ARSNL5 LDN,CSN LDN
ARSNL5 MRB,CSN DAWNZ MRB
ARSNL5 MOL,CSN MOL
ARSNL5 WITTO,CSN WITTO
ARSNL5 WOOLY,CSN DAWNZ MRB WOOLY
ATKNN5 FLOGS,ATKNN ZILEK FLOGS
ATKNN5 GREBE,ATKNN JEBSU FEPOX RUTER GREBE
ATKNN5 NOCHI,ATKNN HAVID ALIBY NOCHI
ATKNN5 SLNNK,ATKNN JEBSU FEPOX BOATY SLNNK
AUREL3 PRESN,SIRPE PRESN
AUREL3 REAPS,SIRPE REAPS
AUREL3 SOLDE,SIRPE SOLDE
AUS7 AGJ,CWK AGJ
AUS7 JCT,CWK AMUSE JCT
AUS7 SAT,CWK SAT
AUS7 STV,CWK AMUSE STV
AUTMN6 LUVEC,AUTMN LUVEC
AVILA4 GVO,AVILA ORCUT GVO
AVILA4 MQO,AVILA MQO
AVILA4 WINCH,AVILA SAKWE WINCH
AZONE7 PITEW,AZONE PITEW
BACH1 EIC,TTT CLARE POTEN TEKBE SHRLY EIC
BACH1 LIT,TTT NOBLY COBUG ORTRO LIT
BACH1 SOLDO,TTT SOLDO
BACH1 TXK,TTT TRISS SHERO TXK
BALDY3 ACH,MAXXO ACH
BALDY3 CNX,MAXXO CNX
BANGR9 ARRIE,BANGR ARRIE
BANGR9 PANGL,BANGR PANGL
BANNG3 LUCKK,BANNG LUCKK
BARII3 SINKR,BARII SINKR
BARMY5 NUTZE,BARMY BATTA NUTZE
BARMY5 RDU,BARMY BATTA RDU
BARMY5 TYI,BARMY BATTA TYI
BAYLR6 HBU,BAYLR BOBBA HBU
BAYLR6 TEHRU,BAYLR BOBBA TEHRU
BAYPO2 CAMJO,BAYPO ECAKE WILON SPRNG CAMJO
BAYPO2 WILON,BAYPO ECAKE WILON
BBKNG7 KERMI,BBKNG KERMI
BEACH4 HARPO,BEACH HARPO
BEACH4 LANAI,BEACH LNY
BEAVY6 GANDT,BEAVY ANDYS GANDT
BEAVY6 JENDO,BEAVY ANDYS JENDO
BERNI3 EASON,BERNI EASON
BERNI3 EUG,BERNI EUG
BERNI3 FAMUK,BERNI FAMUK
BERNI3 HARPR,BERNI HARPR
BERYY5 LIT,BERYY TWRAY LIT
BEVVR1 BELGN,APRES ZAMRU GGIRO BELGN
BEVVR1 RUBAY,APRES ZILOP PARIZ RUBAY
BEVVR1 SPRKT,APRES GORMN SPRKT
BEXGO5 BOUSY,BEXGO BOUSY
BGOOD5 VIH,BGOOD VIH
BGSKY2 DBS,BGSKY LUKKS UPLOW DBS
BGSKY2 UPLOW,BGSKY LUKKS UPLOW
BGSKY2 HIA,BGSKY AIDDN HIA
BIMMR3 ACERB,BIMMR ACERB
BIMMR3 DRIVN,BIMMR ACERB DRIVN
BINKY6 BASBE,BINKY BASBE
