ArptId,Lat,Lon
0J0,31.60172083,-85.23854444
2A8,34.21714166,-87.15815833
AL03,32.8475,-87.71388888
EET,33.17777777,-86.78322222
AL39,33.25222222,-86.81222222
BFZ,34.22911111,-86.25575
ALX,32.91475,-85.96294444
33AL,32.93007777,-85.97090833
AIV,33.10674444,-88.197175
79J,31.30836111,-86.39222222
ANB,33.58816666,-85.85811111
AL42,33.65600555,-85.82444444
04AL,33.62638888,-85.96722222
51AL,34.9790748,-86.88328483
90KY,37.25861111,-82.46138888
26A,33.28419722,-85.80896527
0AL2,33.27721666,-85.82481944
AL60,33.83870972,-86.21136527
5AL9,34.80281666,-86.98060555
56AL,34.77277777,-87.17458333
0R1,31.01613888,-87.44675
AUO,32.61511111,-85.434
1R8,30.87033333,-87.81933333
6AL9,30.94861111,-87.74555555
96AL,30.82768452,-87.88917741
5R7,30.45525,-88.21119444
AL67,30.43111111,-88.17916666
EKY,33.31261111,-86.92630555
AL19,33.37155833,-86.99100555
AL80,33.33083583,-86.98384594
BHM,33.56388888,-86.75230555
AL50,33.49760583,-86.84637944
AL49,33.53578333,-86.81140555
AL91,33.50427194,-86.8052675
AL38,33.50586111,-86.80277777
0AL8,33.46407222,-86.77286944
AL45,33.432875,-86.71609444
AL66,33.51954972,-86.81360111
AL65,33.59697222,-86.66780833
AL40,33.54316194,-86.98582777
AL29,34.12926388,-86.63332666
1AL0,34.22042222,-86.16091944
8AL3,34.14176666,-86.08856666
3AL6,33.65677777,-86.41247222
AL30,33.99083333,-87.07777777
12J,31.05071138,-87.06726666
0AL6,31.12566944,-87.07346944
42AL,32.09333611,-88.21036111
09A,32.11930555,-88.12747222
61A,31.97975,-87.33911111
AL01,33.27420833,-88.08933333
AL32,34.32258888,-85.64371388
81AL,32.95179722,-87.14818611
AL27,34.10565277,-85.56579388
PYP,34.08991666,-85.61008333
0A8,32.93693888,-87.09054722
5AL1,31.68071277,-86.68191694
5R1,31.45166688,-88.19442663
6AL6,31.38858333,-88.09258333
39AL,31.45905555,-88.23447222
AL68,34.74417644,-87.886576
35AL,31.08959722,-88.24507222
02A,32.85048447,-86.61143247
01AL,32.94595611,-86.51386833
8AL0,32.8005,-86.4465
5AL4,32.88083333,-86.62194444
11A,31.88332444,-85.48522472
9AL6,31.236107,-85.14170541
1AL2,33.24715277,-86.59791666
91AL,33.18661944,-86.6268
AL13,32.17237444,-85.02881916
9A4,34.65815833,-87.34855805
AL51,32.41611111,-85.29916666
15A,30.90913888,-87.99633333
CMD,34.2687025,-86.85803527
3AL9,34.20198333,-86.8065
5AL6,32.81849166,-85.74151111
30AL,34.373,-87.0805
4R9,30.26048166,-88.12747305
6AL8,30.65463611,-87.85425277
4AL3,30.59180555,-87.82258333
AL47,30.59495,-87.82091805
DCU,34.65405555,-86.94536111
1AL1,34.59209722,-86.972125
DYA,32.46383333,-87.95405555
AL14,32.50555555,-87.83638888
AL20,31.21810277,-85.36745555
AL59,31.23736666,-85.45478333
DHN,31.32102777,-85.44947222
1AL9,30.31545,-87.57237777
14J,31.41004166,-86.09033611
7AL9,30.46922777,-87.54391111
AL08,30.42500833,-87.53670555
AL55,30.44186388,-87.46386833
EDN,31.29972222,-85.89983333
EUF,31.95130555,-85.12891666
AL00,31.88945277,-85.15621666
3A7,32.82041666,-87.86508333
09AL,32.84241111,-87.890525
GZH,31.415,-87.04336111
0AL3,31.4301,-86.94021666
CQF,30.4605,-87.87702777
M95,33.70910583,-87.81520861
3AL0,33.70916666,-87.82361111
4AL7,34.74472222,-85.68983333
43AL,34.76891944,-85.69620555
52AL,34.80291666,-85.64969444
0AL5,31.03222222,-87.25277777
7AL8,31.00091111,-86.31365555
0J4,31.04247361,-86.31156111
AL46,34.902585,-87.58724777
0AL9,34.85,-87.6325
40AL,34.805125,-87.65281944
0AL1,30.44388888,-87.65694444
02AL,30.37146388,-87.76444444
3AL4,30.42666944,-87.68511388
5R4,30.42766666,-87.70097222
NBJ,30.39031386,-87.63156008
48AL,30.37305555,-87.66333333
9AL5,32.60131388,-87.78350555
67A,31.97237083,-86.59164138
2AL5,34.39277777,-85.665
4A9,34.47369444,-85.72138888
0AL4,34.44208258,-85.7557915
OZR,31.27577694,-85.71335111
HEY,31.35573416,-85.65186305
