NavId,Lat,Lon
AA,47.00905216,-96.8151835
AA,33.53328333,-82.61436944
AAA,40.16011666,-89.33801561
AAT,41.48335388,-120.56154166
AB,45.38610597,-98.32851091
AB,32.29886325,-99.67422802
ABG,32.58549538,-95.11311944
ABI,32.48133058,-99.86345369
ABQ,35.04379558,-106.81631191
ABQ,35.03819,-106.60841805
ABR,45.41735666,-98.36871961
ACE,59.64133444,-151.50027377
ACH,35.11170611,-105.03992888
ACK,41.28187505,-70.02670386
ACO,41.10790311,-81.20151891
ACT,31.66223102,-97.26901383
ACV,40.98144275,-124.108319
ACY,39.4558748,-74.57631472
ADG,41.86998583,-84.07748077
ADK,51.87187647,-176.6759875
ADM,34.21158619,-97.16822802
ADW,38.80721944,-76.86625555
AE,35.21740108,-106.71280038
AEL,43.681735,-93.37075511
AEX,31.25673163,-92.50097241
AG,33.28688547,-81.94685313
AGC,40.27864386,-80.04085469
AGJ,31.1855045,-98.14185786
AGZ,43.06339127,-98.29316833
AHC,40.26786288,-120.15196541
AHN,33.94759358,-83.32475877
AHQ,41.23900138,-96.59866061
AI,40.0695273,-85.51068694
AI,34.23234622,-96.93310883
AIA,42.05563094,-102.80444361
AIK,33.6518005,-81.67697219
AIR,40.01702408,-80.81722894
AJA,13.45350525,144.73693305
AK,41.06973336,-81.38736763
AKN,58.72471258,-156.75234675
AKO,40.15555508,-103.17971469
AKQ,36.98281877,-77.00097261
AKW,55.56862102,-133.08139586
AL,46.17556583,-118.19635925
ALB,42.74728047,-73.80318397
ALB,42.74230002,-73.82206588
ALD,33.01249422,-81.29223222
ALI,27.7397995,-98.02134288
ALJ,60.47982222,-146.58743055
ALO,42.55649655,-92.39892391
ALP,42.23870361,-76.76397125
ALS,37.34915894,-105.81553269
ALW,46.08697675,-118.29253527
AM,35.14646494,-101.80554686
AMG,31.536555,-82.5080888
AML,38.93459247,-77.46670175
AN,33.53433844,-85.93127041
ANC,61.16666855,-149.99453897
ANI,61.59015666,-159.59789272
ANN,55.06040861,-131.57839944
ANU,17.12588055,-61.80016666
ANW,42.56911388,-99.98966111
ANX,39.09542388,-94.12883472
ANY,37.15898202,-98.17077363
AP,44.96079108,-83.55993533
APA,39.57514111,-104.84517533
APE,40.15106272,-82.58830136
APN,45.08277863,-83.5570035
